,de,uk,TRANSLATION
567,"Das ist doch nicht so einfach, wie ich dachte.","Це не так просто, як мені здавалося.","Das ist doch nicht so einfach, wie ich dachte."
568,Das ist durchaus möglich.,Це цілком можливо.,Das ist durchaus möglich.
569,Das ist ein Adverb.,Це прислівник.,Das ist ein Adverb.
570,Das ist ein altes Gesetz.,Це стародавній закон.,Das ist ein altes Gesetz.
571,Das ist ein Boot.,Це човен.,Das ist ein Boot.
572,Das ist ein Buch über Fettleibigkeit.,Ця книга про ожиріння.,Das ist ein Buch über Fettleibigkeit.
573,Das ist ein Buch über Sterne.,Ця книга про зірки.,Das ist ein Buch über Sterne.
574,Das ist ein Buch über Tiere.,Ця книга про тварин.,Das ist ein Buch über Tiere.
575,Das ist eine Ausnahme.,Це виняток.,Das ist eine Ausnahme.
576,Das ist eine bewiesene Tatsache.,Це доведений факт.,Das ist eine bewiesene Tatsache.
577,Das ist eine gute Antwort.,Це добра відповідь.,Das ist eine gute Antwort.
578,Das ist eine gute Idee!,Це гарна ідея!,Das ist eine gute Idee!
579,Das ist eine gute Regel.,Це хороше правило.,Das ist eine gute Regel.
580,Das ist eine gute Schule.,Це хороша школа.,Das ist eine gute Schule.
581,"Das ist eine gute Zeitung, stimmt's?","Це хороша газета, чи не так?","Das ist eine gute Zeitung, stimmt's?"
582,Das ist eine japanische Puppe.,Це японська лялька.,Das ist eine japanische Puppe.
583,Das ist eine Katastrophe.,Це катастрофа.,Das ist eine Katastrophe.
584,Das ist eine Kopie.,Це копія.,Das ist eine Kopie.
585,Das ist eine lange Geschichte.,Це довга історія.,Das ist eine lange Geschichte.
586,Das ist eine Lüge!,Це брехня!,Das ist eine Lüge!
587,Das ist ein enormer Verlust.,Це величезна втрата.,Das ist ein enormer Verlust.
588,Das ist eine schwere Anschuldigung.,Це дуже серйозне звинувачення.,Das ist eine schwere Anschuldigung.
589,Das ist eine schwere Sprache.,Це тяжка мова.,Das ist eine schwere Sprache.
590,Das ist eine sehr einfache Idee.,Це дуже проста ідея.,Das ist eine sehr einfache Idee.
591,"Das ist eine sehr heimtückische Krankheit. Man bemerkt sie erst, wenn es zu spät ist.","Це дуже підступна хвороба. Ти її не помічаєш, допоки не стає запізно.","Das ist eine sehr heimtückische Krankheit. Man bemerkt sie erst, wenn es zu spät ist."
592,Das ist eine sehr schöne Blume.,Це дуже гарна квітка.,Das ist eine sehr schöne Blume.
593,Das ist eine Silbermünze.,Це срібна монета.,Das ist eine Silbermünze.
594,Das ist eine tolle Idee.,Це чудова ідея.,Das ist eine tolle Idee.
595,Das ist eine Überraschung.,Це сюрприз.,Das ist eine Überraschung.
596,Das ist eine wichtige Frage.,Це важливе питання.,Das ist eine wichtige Frage.
597,Das ist ein Foto meiner Schwester.,Це фотографія моєї сестри.,Das ist ein Foto meiner Schwester.
598,Das ist ein Foto.,Це фотографія.,Das ist ein Foto.
599,Das ist ein Geschenk für dich.,Це подарунок тобі.,Das ist ein Geschenk für dich.
600,Das ist ein Geschenk für dich.,Це тобі подарунок.,Das ist ein Geschenk für dich.
601,Das ist ein Geschenk für Sie.,Це подарунок вам.,Das ist ein Geschenk für Sie.
602,Das ist ein Geschenk für Sie.,Це подарунок для вас.,Das ist ein Geschenk für Sie.
603,Das ist ein Hotel.,Це готель.,Das ist ein Hotel.
604,"Das ist ein kleiner Schritt für den Menschen, aber ein riesiger Sprung für die Menschheit.","Це маленький крок для людини, але величезний стрибок для людства.","Das ist ein kleiner Schritt für den Menschen, aber ein riesiger Sprung für die Menschheit."
605,Das ist ein kleines Buch.,Це маленька книжка.,Das ist ein kleines Buch.
606,Das ist ein Löwe.,Це лев.,Das ist ein Löwe.
607,Das ist ein Pferd.,Це кінь.,Das ist ein Pferd.
608,Das ist ein Problem.,Це проблема.,Das ist ein Problem.
609,Das ist ein Riesenfehler.,Це величезна помилка.,Das ist ein Riesenfehler.
610,Das ist ein rutschiger Abhang.,Це слизька доріжка.,Das ist ein rutschiger Abhang.
611,Das ist ein Satz.,Це речення.,Das ist ein Satz.
612,Das ist ein Schneemann.,Це сніговик.,Das ist ein Schneemann.
613,Das ist ein schönes T-Shirt.,Це гарна футболка.,Das ist ein schönes T-Shirt.
614,Das ist ein sehr nützliches Wörterbuch.,Це дуже корисний словник.,Das ist ein sehr nützliches Wörterbuch.
615,Das ist ein Verbrechen.,Це злочин.,Das ist ein Verbrechen.
616,Das ist ein ziemlich riskanter Beruf.,Це доволі ризикована робота.,Das ist ein ziemlich riskanter Beruf.
617,Das ist entsetzlich teuer.,Це надзвичайно дорого.,Das ist entsetzlich teuer.
618,Das ist Erpressung!,Це шантаж.,Das ist Erpressung!
619,Das ist er.,Це він.,Das ist er.
620,Das ist etwas anderes.,То інша справа.,Das ist etwas anderes.
621,Das ist etwas anderes.,Це інша справа.,Das ist etwas anderes.
622,Das ist eure Entscheidung.,Це ваше рішення.,Das ist eure Entscheidung.
623,Das ist Fleisch.,Це м'ясо.,Das ist Fleisch.
624,Das ist für dich.,Це тобі.,Das ist für dich.
625,Das ist für jetzt genug.,На даний момент досить.,Das ist für jetzt genug.
626,Das ist für jetzt genug.,Поки що вистачить.,Das ist für jetzt genug.
627,Das ist für Sie.,Це вам.,Das ist für Sie.
628,Das ist gar nicht so übel!,Це не так вже й погано!,Das ist gar nicht so übel!
629,Das ist gefährlich.,Це небезпечно.,Das ist gefährlich.
630,"Das ist genau das Buch, wonach ich gesucht habe.","Це саме та книга, яку я шукав.","Das ist genau das Buch, wonach ich gesucht habe."
631,"Das ist genau die Uhr, die ich letzte Woche verloren habe.","Це той самий годинник, що я загубив тиждень тому.","Das ist genau die Uhr, die ich letzte Woche verloren habe."
632,"Das ist genug für heute, ich bin müde.","На сьогодні досить, я втомився.","Das ist genug für heute, ich bin müde."
633,Das ist gerechtfertigt.,Ци виправдано.,Das ist gerechtfertigt.
634,Das ist Gift.,Це отрута.,Das ist Gift.
635,Das ist Herr Pedro.,Це пан Педро.,Das ist Herr Pedro.
636,Das ist ihr Buch.,Це їхня книжка.,Das ist ihr Buch.
637,Das ist Ihre Entscheidung.,Це ваше рішення.,Das ist Ihre Entscheidung.
638,Das ist Ihr Problem.,Це ваша проблема.,Das ist Ihr Problem.
639,Das ist illegal.,Це незаконно.,Das ist illegal.
640,Das ist kein Apfelsinenbaum.,Це не апельсинове дерево.,Das ist kein Apfelsinenbaum.
641,Das ist kein Blut. Das ist Rote Bete.,Це не кров. Це буряк.,Das ist kein Blut. Das ist Rote Bete.
642,"Das ist keine Schlange, sondern nur ein Stück Seil.",Це не змія. Це всього лише шматок мотузки.,"Das ist keine Schlange, sondern nur ein Stück Seil."
643,Das ist kein Essen.,Це не їжа.,Das ist kein Essen.
644,Das ist keine zufällige Fügung.,Це не збіг обставин.,Das ist keine zufällige Fügung.
645,"Das ist kein Hebräisch, sondern Jiddisch.",Це не іврит. Це ідиш.,"Das ist kein Hebräisch, sondern Jiddisch."
646,Das ist kein Irrtum.,Це не помилка.,Das ist kein Irrtum.
647,Das ist kein Salz.,Це не сіль.,Das ist kein Salz.
648,Das ist kein Schwein; das ist ein Affe.,Це не свиня; це мавпа.,Das ist kein Schwein; das ist ein Affe.
649,Das ist kein Spielzeug!,Це не іграшка!,Das ist kein Spielzeug!
650,Das ist kein Spiel!,Це не гра.,Das ist kein Spiel!
651,Das ist kein Tiger.,Це не тигр.,Das ist kein Tiger.
652,Das ist kein Trinkwasser.,Це непитна вода.,Das ist kein Trinkwasser.
653,Das ist kein Trinkwasser.,Ця вода непитна.,Das ist kein Trinkwasser.
654,Das ist kinderleicht!,Це дуже легко!,Das ist kinderleicht!
655,Das ist komisch.,Це кумедно.,Das ist komisch.
656,Das ist leichter gesagt als getan.,"Простіше сказати, ніж зробити.",Das ist leichter gesagt als getan.
657,Das ist leicht.,Це легко.,Das ist leicht.
658,Das ist lustig.,Це кумедно.,Das ist lustig.
659,Das ist mein Bruder Tom.,Це мій брат Том.,Das ist mein Bruder Tom.
660,Das ist meine Angelegenheit.,Це моя справа.,Das ist meine Angelegenheit.
661,Das ist meine CD.,Це мій диск.,Das ist meine CD.
662,Das ist meine Geschäftsadresse.,Це моя рабоча адреса.,Das ist meine Geschäftsadresse.
663,Das ist meine Großmutter.,Це моя бабуся.,Das ist meine Großmutter.
664,Das ist meine Hose.,Це мої штани.,Das ist meine Hose.
665,Das ist meine Idee.,Це моя ідея.,Das ist meine Idee.
666,Das ist meine Küche.,Це моя кухня.,Das ist meine Küche.
667,Das ist meine Lieblingsband.,Це моя улюблена група.,Das ist meine Lieblingsband.
668,Das ist meine Postleitzahl.,Це мій поштовий індекс.,Das ist meine Postleitzahl.
669,"Das ist mein erster Flug. Ich bin nervös, sagt Hiroshi.","Це мій перший політ. Я нервуюся, - каже Хіросі.","Das ist mein erster Flug. Ich bin nervös, sagt Hiroshi."
670,Das ist meine Schwester Maria.,Це моя сестра Мері.,Das ist meine Schwester Maria.
671,Das ist meine Schwester. Sie heißt Julia.,Це моя сестра. Її звати Юля.,Das ist meine Schwester. Sie heißt Julia.
672,Das ist meine Schwester.,Це моя сестра.,Das ist meine Schwester.
673,Das ist meine Uhr.,Цей годинник мій.,Das ist meine Uhr.
674,Das ist mein Fahrrad.,Це мій велосипед.,Das ist mein Fahrrad.
675,Das ist mein Freund Tom.,Це мій друг Том.,Das ist mein Freund Tom.
676,Das ist mein Geld.,Це мої гроші.,Das ist mein Geld.
677,Das ist mein letztes Wort.,Це моя остаточна відповідь.,Das ist mein letztes Wort.
678,Das ist mein Lieblingsgericht.,Це моя улюблена страва.,Das ist mein Lieblingsgericht.
679,Das ist mein Lieblingslied.,Це моя улюблена пісня.,Das ist mein Lieblingslied.
680,Das ist mein Lieblingsstuhl.,Це мій улюблений стілець.,Das ist mein Lieblingsstuhl.
681,Das ist mein Lied!,Це моя пісня!,Das ist mein Lied!
682,Das ist mein Schlafzimmer.,Це моя спальня.,Das ist mein Schlafzimmer.
683,Das ist mir egal.,Я не заперечую.,Das ist mir egal.
684,Das ist mir völlig egal!,Мені цілком байдуже!,Das ist mir völlig egal!
685,Das ist nicht das einzige Problem.,Це не єдина проблема.,Das ist nicht das einzige Problem.
686,"Das ist nicht das, was ich bestellt habe.",Я не це замовляла.,"Das ist nicht das, was ich bestellt habe."
687,Das ist nicht immer der Fall.,Це не завжди так.,Das ist nicht immer der Fall.
688,Das ist nicht komisch.,Це не смішно.,Das ist nicht komisch.
689,Das ist nicht legal.,Це незаконно.,Das ist nicht legal.
690,Das ist nicht logisch.,Це нелогічно.,Das ist nicht logisch.
691,"Das ist nicht meine Meinung, nur meine Übersetzung!","Це не моя точка зору, а лише мій переклад!","Das ist nicht meine Meinung, nur meine Übersetzung!"
692,"Das ist nicht mein Haus, nein.","Ні, це не мій будинок.","Das ist nicht mein Haus, nein."
693,Das ist nicht möglich!,Це неможливо!,Das ist nicht möglich!
694,Das ist nichts für dich.,Це не тобі.,Das ist nichts für dich.
695,Das ist nicht sicher.,Це не є безпечним.,Das ist nicht sicher.
696,"Das ist nichts, was jeder Beliebige tun kann.","Це не те, що може зробити кожен.","Das ist nichts, was jeder Beliebige tun kann."
697,Das ist nicht Tom.,Це не Том.,Das ist nicht Tom.
698,Das ist nicht unmöglich.,Це не неможливо.,Das ist nicht unmöglich.
699,Das ist nicht verkäuflich.,Це не на продаж.,Das ist nicht verkäuflich.
700,"Das ist nicht, was ich bestellt habe.",Я не це замовляв.,"Das ist nicht, was ich bestellt habe."
701,"Das ist nicht, was ich bestellt habe.",Я не це замовляла.,"Das ist nicht, was ich bestellt habe."
702,Das ist nicht wichtig.,Це не має значення.,Das ist nicht wichtig.
703,Das ist nicht zum Lachen!,Це не смішно!,Das ist nicht zum Lachen!
704,Das ist nicht zum Lachen!,Це не смішно.,Das ist nicht zum Lachen!
705,Das ist nur ein Placebo.,Це лише плацебо.,Das ist nur ein Placebo.
706,Das ist original.,Оригінально.,Das ist original.
707,Das ist reine Zeitverschwendung.,Це тільки даремна трата часу.,Das ist reine Zeitverschwendung.
708,Das ist richtig!,Вірно!,Das ist richtig!
709,Das ist Sabotage.,Це саботаж.,Das ist Sabotage.
710,Das ist schon aus der Mode.,Це вже не в моді.,Das ist schon aus der Mode.
711,Das ist sehr großzügig von Ihnen.,Це дуже великодушно з вашого боку.,Das ist sehr großzügig von Ihnen.
712,Das ist sehr schlecht.,Це дуже погано.,Das ist sehr schlecht.
713,Das ist sehr teuer.,Це надзвичайно дорого.,Das ist sehr teuer.
714,Das ist sehr unprofessionell.,Це дуже непрофесійно.,Das ist sehr unprofessionell.
715,Das ist sein Auto.,Це його машина.,Das ist sein Auto.
716,Das ist seine Formel.,Це його формула.,Das ist seine Formel.
717,Das ist seine Meinung.,Це його думка.,Das ist seine Meinung.
718,Das ist sein Haus.,Цей будинок належить йому.,Das ist sein Haus.
719,Das ist sein Pferd.,Це її кінь.,Das ist sein Pferd.
720,Das ist sein Pferd.,Це його кінь.,Das ist sein Pferd.
721,Das ist so klar wie Kloßbrühe.,Це ясно як божий день.,Das ist so klar wie Kloßbrühe.
722,Das ist so langweilig.,Це так нудно.,Das ist so langweilig.
723,"Das ist Tom, mein Kollege.","Це Том, мій колега.","Das ist Tom, mein Kollege."
724,Das ist Toms Familie.,Це родина Тома.,Das ist Toms Familie.
725,Das ist Toms Job.,Це робота Тома.,Das ist Toms Job.
726,Das ist Toms Schirm.,Це парасолька Тома.,Das ist Toms Schirm.
727,Das ist Toms Vater.,Це тато Тома.,Das ist Toms Vater.
728,Das ist Tom.,Це Том.,Das ist Tom.
729,Das ist ungewöhnlich.,Це незвично.,Das ist ungewöhnlich.
730,Das ist unmöglich.,Це неможливо.,Das ist unmöglich.
731,Das ist unser Auto.,Це наша машина.,Das ist unser Auto.
732,Das ist unser Baseballplatz.,Це наше бейсбольне поле.,Das ist unser Baseballplatz.
733,Das ist unsere Chance.,Це наш шанс.,Das ist unsere Chance.
734,Das ist unsere Schule.,Це наша школа.,Das ist unsere Schule.
735,Das ist verständlich.,Це зрозуміло.,Das ist verständlich.
736,Das ist völlig verständlich.,Це цілком зрозуміло.,Das ist völlig verständlich.
737,Das ist von meinem Vater.,Це належить батьку.,Das ist von meinem Vater.
738,Das ist von Tom.,Це від Тома.,Das ist von Tom.
739,Das ist vor drei Tagen passiert.,Це було три дні тому.,Das ist vor drei Tagen passiert.
740,Das ist Wasser.,Це вода.,Das ist Wasser.
741,Das ist wirklich eine nette Überraschung!,Це насправді добрий сюрприз!,Das ist wirklich eine nette Überraschung!
742,Das ist wirklich großartig!,Це дивовижно!,Das ist wirklich großartig!
743,Das ist wirklich traurig.,Це справді сумно.,Das ist wirklich traurig.
744,Das ist zu teuer.,Це задорого!,Das ist zu teuer.
745,Das ist zu teuer!,Це занадто дорого!,Das ist zu teuer!
746,Das ist zu teuer.,Це занадто дорого!,Das ist zu teuer.
747,Das Jobangebot steht noch.,Пропозиція роботи ще в силі.,Das Jobangebot steht noch.
748,Das kann jeder.,Будь-хто може це зробити.,Das kann jeder.
749,Das kann jeder.,Кожен може це зробити.,Das kann jeder.
750,Das kann man in jedem Wörterbuch nachsehen.,Це є в будь-якому словнику.,Das kann man in jedem Wörterbuch nachsehen.
751,Das kann nur sie sein.,Це може бути лише вона.,Das kann nur sie sein.
752,Das kannst du nicht machen.,Не можна цього робити.,Das kannst du nicht machen.
753,Das Kind folgte mir zum Park.,Дитина пішла за мною до парку.,Das Kind folgte mir zum Park.
754,Das klingt vernünftig.,Звучить резонно.,Das klingt vernünftig.
755,Das klippklar.,Це ясно як божий день.,Das klippklar.
756,Das Klopapier ist alle!,Закінчився туалетний папір!,Das Klopapier ist alle!
757,Das kommt auf den Zusammenhang an.,Це залежить від контексту.,Das kommt auf den Zusammenhang an.
758,Das kommt mir spanisch vor.,Для мене це китайська грамота.,Das kommt mir spanisch vor.
759,Das könnte dich vielleicht interessieren.,Це може тебе зацікавити.,Das könnte dich vielleicht interessieren.
760,Das Konzert fängt gleich an.,Концерт скоро розпочнеться.,Das Konzert fängt gleich an.
761,Das Konzert war ein Erfolg.,Концерт мав успіх.,Das Konzert war ein Erfolg.
762,Das Land braucht eure Hilfe.,Країні потрібна ваша допомога.,Das Land braucht eure Hilfe.
763,Das Land braucht Ihre Hilfe.,Країні потрібна ваша допомога.,Das Land braucht Ihre Hilfe.
764,Das Land erklärte seine Unabhängigkeit am 7. September 1822.,Країна проголосила незалежність сьомого вересня тисяча вісімсот двадцять другого року.,Das Land erklärte seine Unabhängigkeit am 7. September 1822.
765,Das Laub des Baumes wurde gelb.,Листя на дереві пожовтіло.,Das Laub des Baumes wurde gelb.
766,Das Leben geht weiter.,Життя триває.,Das Leben geht weiter.
767,Das Leben ist gut.,Життя добре.,Das Leben ist gut.
768,Das Leben ist interessant.,Життя цікаве.,Das Leben ist цікаво.
769,Das Leben ist nicht gerecht.,Життя несправедливе.,Das Leben ist nicht gerecht.
770,"Das Leben ist nicht lang, es ist breit!","Життя не довге, воно широке!","Das Leben ist nicht lang, es ist breit!"
771,Das Leben ist schwer.,Життя важке.,Das Leben ist schwer.
772,Das Leben ist sehr kurz.,Життя дуже коротке.,Das Leben ist sehr kurz.
773,Das Leben ist voller Abenteuer.,Життя є повне пригод.,Das Leben ist voller Abenteuer.
774,"Das Leben ist zu kurz, um Deutsch zu lernen.","Життя занадто коротке, щоб вивчати німецьку.","Das Leben ist zu kurz, um Deutsch zu lernen."
775,"Das Leben ist zu kurz, um Deutsch zu lernen.","Життя занадто коротке, щоб вивчити німецьку.","Das Leben ist zu kurz, um Deutsch zu lernen."
776,Das Lesen von Romanen ist mein Hobby.,Моє хобі - читання романів.,Das Lesen von Romanen ist mein Hobby.
777,Das Licht ist aus.,Світло вимкнене.,Das Licht ist aus.
778,Das Licht ist aus.,Світло не горить.,Das Licht ist aus.
779,Das machst du doch mit Absicht!,Ти робиш це навмисно!,Das machst du doch mit Absicht!
780,Das macht mir keine Sorgen.,Я про це не турбуюся.,Das macht mir keine Sorgen.
781,Das macht neugierig.,Це цікаво.,Das macht neugierig.
782,"Das Mädchen ging zur Schule, obwohl sie krank war.","Дівчинка пішла до школи, незважаючи на хворобу.","Das Mädchen ging zur Schule, obwohl sie krank war."
783,Das Mädchen half dem Jungen.,Дівчина допомогла хлопцю.,Das Mädchen half dem Jungen.
784,Das Mädchen hat dem Jungen geholfen.,Дівчина допомогла хлопцю.,Das Mädchen hat dem Jungen geholfen.
785,Das Mädchen hat dem Jungen geholfen.,Дівчина допомогла хлочику.,Das Mädchen hat dem Jungen geholfen.
786,Das Mädchen hatte Angst vor ihrem eigenen Schatten.,Дівчинка боялася власної тіні.,Das Mädchen hatte Angst vor ihrem eigenen Schatten.
787,Das Mädchen ist einsam.,Дівчина самотня.,Das Mädchen ist einsam.
788,Das Mädchen ist hübsch.,Дівчина гарна.,Das Mädchen ist hübsch.
789,Das Mädchen ist klein für sein Alter.,Дівчинка мала для свого віку.,Das Mädchen ist klein für sein Alter.
790,Das Mädchen ist schön.,Дівчина гарна.,Das Mädchen ist schön.
791,Das Mädchen singt und tanzt und dann lächelt es mich an.,"Дівчинка співає й танцює, а потім посміхається мені.",Das Mädchen singt und tanzt und dann lächelt es mich an.
792,Das Mädchen singt und tanzt und dann lacht es mich an.,"Дівчинка співає й танцює, а потім посміхається мені.",Das Mädchen singt und tanzt und dann lacht es mich an.
793,Das Mädchen wusch sich die Haare.,Дівчина помила волосся.,Das Mädchen wusch sich die Haare.
794,Das menschliche Gehirn wiegt ungefähr drei Pfund.,Мозок людини важить близько трьох фунтів.,Das menschliche Gehirn wiegt ungefähr drei Pfund.
795,Das möchte ich mit eigenen Augen sehen.,Я хочу побачити це на власні очі.,Das möchte ich mit eigenen Augen sehen.
796,Das Murmeltier ist unsterblich.,Байбак безсмертний.,Das Murmeltier ist unsterblich.
797,Das Museum ist nun geschlossen.,Музей зараз закритий.,Das Museum ist nun geschlossen.
798,Das müsst ihr entscheiden.,Вам вирішувати.,Das müsst ihr entscheiden.
799,Das nächste Jahr wird schlimmer.,Наступний рік буде гіршим.,Das nächste Jahr wird schlimmer.
800,Das nächste Mal werde ich es selbst machen.,Наступного разу я зроблю його сам.,Das nächste Mal werde ich es selbst machen.
801,Das nächste Mal werden meine Kommentare auf Russisch sein.,Наступного разу мої коментарі будуть російською.,Das nächste Mal werden meine Kommentare auf Russisch sein.
802,Das Nashorn ist sehr groß.,Носоріг дуже великий.,Das Nashorn ist sehr groß.
803,Das neue System hat sich als erfolgreich erwiesen.,Нова система виявилась успішною.,Das neue System hat sich als erfolgreich erwiesen.
804,Das Paar ist gestorben.,Пара померла.,Das Paar ist gestorben.
805,Das Papier wurde in China erfunden.,Папір було винайдено в Китаї.,Das Papier wurde in China erfunden.
806,Das passiert ab und an.,Таке іноді трапляється.,Das passiert ab und an.
807,Das passiert vielleicht nicht.,Цього може не трапитися.,Das passiert vielleicht nicht.
808,"Das Passwort ist ""Muiriel"".","Пароль - ""Muiriel"".","Das Passwort ist ""Muiriel""."
809,Das Pferd hat Durst.,Кінь хоче пити.,Das Pferd hat Durst.
810,Das Prinzip „Auge um Auge“ macht die ganze Welt blind.,Око за око - і весь світ стане сліпим.,Das Prinzip Auge um Auge macht die ganze Welt blind.
811,"Das Problem ist, dass Sonnenenergie zu teuer ist.","Проблема в тому, що сонячна енергія занадто дорога.","Das Problem ist, dass Sonnenenergie zu teuer ist."
812,Das Radio ist ausgeschaltet.,Радіо вимкнене.,Das Radio ist ausgeschaltet.
813,Das Radio ist defekt.,Радіо зламалося.,Das Radio ist defekt.
814,Das Radio ist kaputt.,Радіо зламалося.,Das Radio ist kaputt.
815,Das riecht aber seltsam.,Але це дивно пахне.,Das riecht aber seltsam.
816,Das Rindfleisch ist zart.,Ця яловичина ніжна.,Das Rindfleisch ist zart.
817,Das sagt man nicht mehr.,Так уже не кажуть.,Das sagt man nicht mehr.
818,Das scheinen keine Amerikaner zu sein.,"Вони, здається, не американці.",Das scheinen keine Amerikaner zu sein.
819,"Das scheint dir gerecht zu sein, oder?","Тобі здається, що це справедливо, так?","Das scheint dir gerecht zu sein, oder?"
820,Das Schicksal kannst du nicht überlisten.,Долю не обдуриш.,Das Schicksal kannst du nicht überlisten.
821,Das Schiff ist jetzt im Hafen.,Корабель зараз у порту.,Das Schiff ist jetzt im Hafen.
822,Das Schiff transportiert Rohstoffe aus Indonesien.,Корабель перевозить сировину з Індонезії.,Das Schiff транспоніер Rohstoffe aus Indonesien.
823,Das Schlimmste ist überstanden.,Найгірше вже позаду.,Das Schlimmste ist überstanden.
824,Das Schloss ist schön.,Замок прекрасний.,Das Schloss ist schön.
825,Das schmeckt gut.,Смачно.,Das schmeckt gut.
826,Das sind Alkoholiker.,Вони алкоголіки.,Das sind Alkoholiker.
827,"Das sind die teuersten Schuhe, die ich je gesehen habe.","Це найдорожчі туфлі, які я коли-небудь бачила.","Das sind die teuersten Schuhe, die ich ich gesehen habe."
828,Das sind Dummköpfe.,Вони дурні.,Das sind Dummköpfe.
829,Das sind Dummköpfe.,Вони ідіоти.,Das sind Dummköpfe.
830,Das sind Geschenke für meine Freunde.,Це подарунки для моїх друзів.,Das sind Geschenke für meine Freunde.
831,Das sind Geschenke.,Це подарунки.,Das sind Geschenke.
832,Das sind gute Neuigkeiten.,Це добрі новини.,Das sind gute Neuigkeiten.
833,Das sind meine Brüder.,Це мої брати.,Das sind meine Brüder.
834,Das sind meine CDs.,Це мої диски.,Das sind meine CDs.
835,Das sind meine Geschwister.,Це мої брати й сестри.,Das sind meine Geschwister.
836,Das sind meine Sachen.,Це мої речі.,Das sind meine Sachen.
837,Das sind nicht meine Bücher.,Це не мої книги.,Das sind nicht meine Bücher.
838,Das sind Spione.,Вони шпигуни.,Das sind Spione.
839,Das sind Vegetarier.,Вони вегетаріанці.,Das sind Vegetarier.
840,Das sind Vögel.,Це птахи.,Das sind Vögel.
841,Das Spiel fängt morgen Nachmittag um zwei an.,Гра розпочинається завтра вдень о другій годині.,Das Spiel fängt morgen Nachmittag um zwei an.
842,Das stimmt nicht.,Це невірно.,Das stimmt nicht.
843,Das stimmt!,Правильно!,Das stimmt!
844,Das stimmt.,Саме так.,Das stimmt.
845,Das stimmt.,Так.,Das stimmt.
846,Das Symbol ' &amp; ' steht für 'und'.,"Символ "" &amp; "" ставиться замість ""і"".",Das Symbol'&amp;'steht für 'und'.
847,Das Symbol '&' steht für 'und'.,"Символ ""&"" означає ""і"".",Das Symbol '&' steht für 'und'.
848,Das Symbol '&' steht für 'und'.,"Символ ""&"" ставиться замість ""і"".",Das Symbol '&' steht für 'und'.
849,Das Taxi holte zwei Fahrgäste ab.,Таксі підібрало двох пасажирів.,Das Taxi holte zwei Fahrgäste ab.
850,Da steht eine Blume auf dem Tisch.,На столі квітка.,Da steht eine Blume auf dem Tisch.
851,Das Telefon funktioniert im Moment nicht.,Наразі телефон не працює.,Das Telefon funktioniert im Moment nicht.
852,Das Telefon funktioniert nicht.,Телефон не працює.,Das Telefon funktioniert nicht.
853,Das Telefon ist außer Betrieb.,Телефон не працює.,Das Telefon ist außer Betrieb.
854,Das Telefon ist rot.,Телефон червоний.,Das Telefon ist rot.
855,Das Treffen fand hier statt.,Зустріч була тут.,Das Treffen fand hier statt.
856,Das Treffen fand hier statt.,Зустріч відбувалася тут.,Das Treffen fand hier statt.
857,Das Treffen ist in zehn Tagen.,Зустріч буде за десять днів.,Das Treffen ist in zehn Tagen.
858,Das tut mir wirklich leid!,Мені дійсно шкода!,Das tut mir wirklich leid!
859,Das Undenkbare ist passiert.,Трапилося щось неймовірне.,Das Undenkbare ist passiert.
860,Das Undenkbare ist passiert.,Трапилося щось немислиме.,Das Undenkbare ist passiert.
861,Das Universum ist grenzenlos.,Всесвіт безмежний.,Das Universum ist grenzenlos.
862,Das Universum ist unendlich.,Всесвіт безмежний.,Das Universum ist unendlich.
863,Das Unternehmen war von Anfang an ein Reinfall.,Цей проект з самого початку був помилкою.,Das Unternehmen war von Anfang an ein Reinfall.
864,Das Video ist langweilig.,Це відео нудне.,Das Video ist langweilig.
865,Das war deine Entscheidung.,Це був твій вибір.,Das war deine Entscheidung.
866,Das wäre ein Fehler.,Це було б помилкою.,Das wäre ein Fehler.
867,Das war ein böser Hase.,Це був злий заєць.,Das war ein böser Hase.
868,Das war eine bescheuerte Idee.,Це була ідіотьска ідея.,Das war eine bescheuerte Idee.
869,Das war eine kluge Entscheidung.,Це було мудре рішення.,Das war eine kluge Entscheidung.
870,Das war eine Lüge.,Це була брехня.,Das war eine Lüge.
871,Das war ein Fehler.,Це була помилка.,Das war ein Fehler.
872,"Das wäre zu cool, wenn ich zehn Sprachen sprechen könnte!","Було б так круто, якби я розмовляв десятьма мовами!","Das wäre zu cool, wenn ich zehn Sprachen sprechen könnte!"
873,Das war genug.,Цього було достатньо.,Das war genug.
874,Das war gut geschrieben.,Це було добре написано.,Das war gut geschrieben.
875,Das war immer so.,Так було завжди.,Das war immer so.
876,Das war immer so.,Так завжди було.,Das war immer so.
877,Das war kein Fehler.,Це не було помилкою.,Das war kein Fehler.
878,Das war nicht meine Idee.,Це була не моя ідея.,Das war nicht meine Idee.
879,Das war sicher nicht mit Absicht.,"Я впевнена, що це було ненавмисно.",Das war sicher nicht mit Absicht.
880,Das war sicher nicht mit Absicht.,"Я певен, що це було ненавмисно.",Das war sicher nicht mit Absicht.
881,Das war unser Geheimnis.,Це був наш секрет.,Das war unser Geheimnis.
882,Das war unvermeidlich.,Це було неминуче.,Das war unvermeidlich.
883,Das Wasser im Brunnen war eisig.,Вода в криниці була крижана.,Das Wasser im Brunnen war eisig.
884,Das Wasser im Brunnen war eiskalt.,Вода в криниці була крижана.,Das Wasser im Brunnen war eiskalt.
